Entry	Protein names	Gene names	Gene names  (primary )	Cross-reference (GeneID)	Cross-reference (Ensembl)	Length	Mass	Status
P31946	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	YWHAB	YWHAB	7529;	ENST00000353703;ENST00000372839;	246	28,082	reviewed
P04439	HLA class I histocompatibility antigen, A-3 alpha chain (MHC class I antigen A*3)	HLA-A HLAA	HLA-A	3105;	ENST00000376809;ENST00000396634;	365	40,841	reviewed
P01889	HLA class I histocompatibility antigen, B-7 alpha chain (MHC class I antigen B*7)	HLA-B HLAB	HLA-B	3106;	ENST00000412585;	362	40,460	reviewed
P30464	HLA class I histocompatibility antigen, B-15 alpha chain (MHC class I antigen B*15)	HLA-B HLAB	HLA-B		ENST00000450871;	362	40,388	reviewed
P30685	HLA class I histocompatibility antigen, B-35 alpha chain (MHC class I antigen B*35)	HLA-B HLAB	HLA-B		ENST00000359635;	362	40,455	reviewed
Q95365	HLA class I histocompatibility antigen, B-38 alpha chain (Bw-4) (MHC class I antigen B*38)	HLA-B HLAB	HLA-B		ENST00000425848;	362	40,416	reviewed
Q04826	HLA class I histocompatibility antigen, B-40 alpha chain (Bw-60) (MHC class I antigen B*40)	HLA-B HLAB	HLA-B		ENST00000359635;	362	40,505	reviewed
P30484	HLA class I histocompatibility antigen, B-46 alpha chain (Bw-46) (MHC class I antigen B*46)	HLA-B HLAB	HLA-B		ENST00000450871;	362	40,440	reviewed
P30492	HLA class I histocompatibility antigen, B-54 alpha chain (Bw-22) (Bw-54) (MHC class I antigen B*54)	HLA-B HLAB	HLA-B		ENST00000359635;	362	40,380	reviewed
P30493	HLA class I histocompatibility antigen, B-55 alpha chain (Bw-55) (HLA class I histocompatibility antigen, B-12 alpha chain) (MHC class I antigen B*55)	HLA-B HLAB CDABP0067	HLA-B		ENST00000359635;	362	40,496	reviewed
P18465	HLA class I histocompatibility antigen, B-57 alpha chain (Bw-57) (MHC class I antigen B*57)	HLA-B HLAB	HLA-B		ENST00000435618;	362	40,224	reviewed
Q29836	HLA class I histocompatibility antigen, B-67 alpha chain (MHC class I antigen B*67)	HLA-B HLAB	HLA-B		ENST00000412585;	362	40,342	reviewed
Q31610	HLA class I histocompatibility antigen, B-81 alpha chain (B'DT) (MHC class I antigen B*81)	HLA-B HLAB	HLA-B		ENST00000412585;	362	40,400	reviewed
P30499	HLA class I histocompatibility antigen, Cw-1 alpha chain (MHC class I antigen Cw*1)	HLA-C HLAC	HLA-C		ENST00000438171;	366	40,965	reviewed
Q29865	HLA class I histocompatibility antigen, Cw-18 alpha chain (MHC class I antigen Cw*18)	HLA-C HLAC	HLA-C		ENST00000420206;	366	40,933	reviewed
P14060	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I) (3-beta-HSD I) (Trophoblast antigen FDO161G) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)]	HSD3B1 3BH HSDB3A	HSD3B1	3283;	ENST00000369413;ENST00000528909;	373	42,252	reviewed
