FALSE.	TRUE.	uniprotKb	protein	gene	isSumo	predict
0.991877035796642	0.00812296420335767	A0A023PXA5	Putative uncharacterized protein YAL019W-A	AEP3	FALSE	FALSE
0.99777247607708	0.00222752392292025	A0A023PXB0	Putative uncharacterized protein YAR019W-A	YAF9	FALSE	FALSE
0.99719324439764	0.00280675560235977	A0A023PXB5	Putative uncharacterized membrane protein IRC2 (Increased recombination centers protein 2)	IRC2	FALSE	FALSE
0.997522479295731	0.00247752070426943	A0A023PXB9	Putative uncharacterized membrane protein YDR199W	YOR302W	FALSE	FALSE
0.997650810182095	0.00234918981790544	A0A023PXC2	Putative uncharacterized membrane protein YEL053W-A	AFG3	FALSE	FALSE
0.997427651584148	0.00257234841585163	A0A023PXC7	Putative uncharacterized membrane protein YER068C-A	AAC3	FALSE	FALSE
0.99836168885231	0.00163831114768986	A0A023PXD3	Putative uncharacterized protein YER088C-A	YOR302W	FALSE	FALSE
0.997706452906132	0.00229354709386831	A0A023PXD5	Putative uncharacterized membrane protein YER147C-A	ACP1	FALSE	FALSE
0.998321038484573	0.00167896151542668	A0A023PXD9	Putative uncharacterized membrane protein YFL015W-A	AFG3	FALSE	FALSE
0.997711167931557	0.00228883206844332	A0A023PXE5	Putative uncharacterized protein YHL006W-A	AEP1	FALSE	FALSE
0.997522479295731	0.00247752070426943	A0A023PXE8	Putative uncharacterized protein YHR028W-A	ACK1	FALSE	FALSE
0.997843556702137	0.00215644329786302	A0A023PXF2	Putative uncharacterized protein YHR071C-A	AAC3	FALSE	FALSE
0.990166672766209	0.00983332723379138	A0A023PXF5	Putative uncharacterized helicase-like protein YHR218W-A	YOR302W	FALSE	FALSE
0.99729279667139	0.00270720332860952	A0A023PXF8	Putative uncharacterized membrane protein YIL066W-A	AEP2	FALSE	FALSE
0.998226210772991	0.00177378922700877	A0A023PXG3	Putative uncharacterized membrane protein YIL156W-A	AAC3	FALSE	FALSE
0.997522479295731	0.00247752070426943	A0A023PXG7	Putative uncharacterized membrane protein YLR230W	YOR302W	FALSE	FALSE
0.997522479295731	0.00247752070426943	A0A023PXH2	Putative uncharacterized membrane protein YML031C-A	AEP3	FALSE	FALSE
0.997255342006683	0.00274465799331669	A0A023PXH4	Putative uncharacterized membrane protein YAL026C-A	AAC3	FALSE	FALSE
0.997601529061794	0.00239847093820567	A0A023PXH5	Uncharacterized protein YBR126W-B	AFG3	FALSE	FALSE
