FALSE.	TRUE.	uniprotKb	protein	gene	isSumo	predict
0.965986648797989	0.0340133512020111	A0A087X1C5	Putative cytochrome P450 2D7 (EC 1.14.14.1)	CYP2D7	FALSE	FALSE
0.9683362865448	0.0316637134552002	A0AV02	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	SLC12A8 CCC9	FALSE	FALSE
0.958122741281986	0.0418772587180137	A0AVI4	E3 ubiquitin-protein ligase TM129 (EC 6.3.2.-)	TMEM129	FALSE	FALSE
0.725128515660763	0.274871484339237	A0AVK6	Transcription factor E2F8 (E2F-8)	E2F8	FALSE	TRUE
0.847663968652487	0.152336031347513	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	FALSE	FALSE
0.914417137652636	0.0855828623473645	A0FGR8	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	ESYT2 FAM62B KIAA1228	FALSE	FALSE
0.96470239430666	0.0352976056933403	A0FGR9	Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)	ESYT3 FAM62C	TRUE	FALSE
0.873207911849022	0.126792088150978	A0MZ66	Shootin-1 (Shootin1)	SHTN1 KIAA1598	FALSE	FALSE
0.862911735549569	0.137088264450431	A0PJY2	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZF1 FEZ ZNF312B	FALSE	FALSE
0.894930528253317	0.105069471746683	A1A4S6	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	FALSE	FALSE
0.968831779956818	0.0311682200431824	A1A4Y4	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	IRGM IFI1 IRGM1 LRG47	FALSE	FALSE
